sku	locations.la_qty	locations.sf_qty	locations.fl_qty	locations.ga_qty	locations.tx_qty	locations.nj_qty	locations.ny_qty	locations.la_warehouse_eta
52405	28	1	3	3	2	3	0	NONE
60737	80	6	2	1	1	19	1	NONE
45025	102	2	19	0	2	0	1	NONE
40206	0	2	0	0	0	0	0	NONE
40023	0	1	0	0	0	0	0	NONE
40042	0	0	0	0	0	0	0	NONE
40044	0	0	0	3	0	0	0	NONE
40202	0	0	0	0	0	0	0	NONE
81243GL								NONE
40048	0	0	0	0	0	0	0	NONE
40058	0	1	0	0	0	0	0	NONE
40205	0	1	0	1	0	0	0	NONE
40209	0	0	0	0	0	0	0	NONE
83959	0	1	0	0	1	0	0	NONE
40056	0	2	0	0	0	0	0	NONE
40207	0	1	0	0	0	0	0	NONE
40208	3	3	0	0	0	0	0	NONE
37277	47	0	2	0	3	0	2	NONE
40070	5	2	0	1	0	0	0	NONE
40157	0	1	0	0	0	0	0	NONE
97623	103	0	35	4	0	2	18	NONE
96096	0	2	0	0	0	0	0	NONE
03880A	0	0	0	2	0	1	0	NONE
97405	189	1	2	0	3	8	21	NONE
97624	7	0	1	0	0	4	18	NONE
91803	1	3	0	0	2	1	0	NONE
40160	0	0	0	0	0	0	0	NONE
81107	1	0	0	0	0	0	1	NONE
83952	63	0	0	0	3	1	2	NONE
83957	0	0	0	0	0	0	0	NONE
97397	0	2	0	0	0	0	0	NONE
97618	91	1	21	4	8	0	39	NONE
40077	0	2	0	0	0	0	0	NONE
81447	2	1	1	0	2	0	1	NONE
97042	0	0	0	0	0	1	0	NONE
97046	0	0	0	0	0	0	0	NONE
97616	109	0	14	6	0	7	15	NONE
97622	83	3	3	1	1	3	19	NONE
38064	159	0	0	2	1	0	0	NONE
66086	0	1	0	2	0	0	0	NONE
40200	0	2	0	1	0	0	0	NONE
40201	16	3	0	0	5	0	0	NONE
97398	10	2	1	0	0	28	0	NONE
97620	42	2	4	11	7	0	4	NONE
30519	37	0	0	1	0	0	0	NONE
96800	0	0	0	0	0	0	4	NONE
96802	3	2	0	2	1	0	0	NONE
96803	0	2	0	0	0	0	0	NONE
96805	87	1	3	0	3	0	4	NONE
96806	75	0	1	2	3	0	5	NONE
96807	24	0	2	0	2	0	3	2023-02-02
96808	0	0	2	0	1	0	0	2023-02-02
81242	0	0	0	1	0	0	2	NONE
83937	89	0	0	1	2	0	2	NONE
90025	0	1	1	1	0	0	0	NONE
90027	0	0	2	1	0	0	0	NONE
30130	0	0	0	0	2	0	0	NONE
30750	0	0	0	2	1	0	0	NONE
96260	0	0	1	0	2	0	1	2023-02-02
96261	7	0	0	1	4	0	14	2023-02-02
96262	68	2	1	2	6	0	0	NONE
96614	0	0	2	0	0	0	0	NONE
97047	3	2	7	0	0	2	4	NONE
97404	23	1	2	0	3	4	12	NONE
92249	6	1	3	1	1	0	7	NONE
70277	77	4	1	2	0	0	0	NONE
03873A	1	0	0	2	0	0	3	NONE
90093	6	3	0	0	2	0	1	NONE
90099	0	0	0	1	2	0	0	NONE
90103	0	2	0	0	6	0	0	NONE
96098	0	2	0	0	0	0	0	NONE
96640	51	2	4	2	0	0	0	2023-02-02
96642	67	8	2	1	2	0	1	NONE
40210	0	0	0	1	0	0	0	NONE
84607	12	0	1	0	0	4	0	NONE
97396	28	0	0	0	0	14	0	NONE
97406	11	1	0	0	0	17	0	NONE
26943	7	0	0	1	2	0	0	NONE
30284	0	0	0	0	0	1	2	NONE
30288	3	2	1	0	2	1	0	NONE
96610	0	1	1	0	0	0	2	NONE
96790	0	0	0	0	0	0	1	NONE
96791	0	0	0	0	0	0	2	NONE
81499	0	2	0	0	0	0	1	NONE
84632	3	0	0	0	2	0	0	NONE
97043	0	0	0	0	0	2	0	NONE
97045	79	4	3	1	2	4	0	NONE
30814	2	1	0	0	1	0	0	NONE
72382	39	0	2	0	0	0	0	NONE
40158	0	1	0	0	0	0	0	NONE
80097	2	1	0	0	1	0	1	NONE
82957	52	1	0	2	2	0	0	NONE
83932	256	1	0	0	1	0	2	NONE
83942	147	2	2	0	1	2	2	NONE
27054	114	26	26	27	17	2	32	NONE
30513	32	1	2	0	3	0	0	NONE
96295	0	2	0	6	0	0	0	NONE
96649	1	2	2	0	1	0	0	NONE
96651	0	2	2	0	0	0	1	NONE
96653	0	0	2	0	1	0	0	NONE
96655	0	1	0	0	0	0	0	NONE
97394	0	0	0	0	0	2	0	NONE
97611	112	2	11	5	0	0	4	NONE
24094	0	1	0	0	0	0	3	NONE
96780	0	0	0	0	0	0	3	NONE
77882	21	0	0	3	8	1	2	NONE
77902	104	0	3	0	4	0	0	NONE
81627	5	3	2	1	0	2	0	NONE
82892	64	4	0	2	2	1	3	NONE
83867	1	0	2	0	0	0	2	NONE
83927	0	1	1	0	0	1	1	NONE
97402	67	0	0	2	3	9	2	NONE
92514	0	0	0	0	0	0	0	NONE
22705	130	3	25	42	17	60	24	NONE
26544	119	6	11	3	5	3	3	NONE
26704	8	3	3	2	0	1	0	2023-02-07
26734	160	40	18	23	92	114	31	NONE
26794	123	54	31	84	107	57	76	NONE
27144	0	0	0	0	0	0	15	NONE
30040	0	0	0	0	3	0	0	NONE
30600	0	0	3	0	1	0	0	NONE
30834	0	0	1	0	7	0	0	NONE
66063	0	0	0	1	0	0	0	NONE
71438	240	7	5	1	2	2	1	NONE
71922	0	1	0	0	0	0	0	NONE
72090	16	2	0	0	0	0	1	NONE
72095	3	0	1	2	0	1	0	NONE
96086	0	0	0	0	1	0	0	NONE
96156	1	0	1	0	0	0	0	NONE
96157	2	0	0	0	0	0	0	NONE
96294	0	1	0	0	0	0	0	NONE
96296	0	1	0	0	0	0	0	NONE
